incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2022-1253,pH meter FP-202 gave inconsistent readings during in-process checks on batch D1423C. Calibration check failed with 0.26 pH unit drift from standard.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Medium,ph meter fp 202 gave inconsistent readings during in process checks on batch d1423c calibration check failed with 0 26 ph unit drift from standard
INC-2022-1254,Particle size distribution of Microcrystalline Cellulose lot LOT-41253 outside specification. D90 measured at 248.0 µm against NMT limit.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Low,particle size distribution of microcrystalline cellulose lot lot 41253 outside specification d90 measured at 248 0 m against nmt limit
INC-2022-1255,Environmental monitoring trend shows increasing CFU counts in Room C303 over 80 days. Action limit breached during batch E3444B manufacturing period.,Environmental Control Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,environmental monitoring trend shows increasing cfu counts in room c303 over 80 days action limit breached during batch e3444b manufacturing period
INC-2022-1256,Raw material Active Pharmaceutical Ingredient from supplier PharmChem Ltd failed identity test on lot LOT-93254. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Supplier qualification review,Upgrade software with validation,Medium,raw material active pharmaceutical ingredient from supplier pharmchem ltd failed identity test on lot lot 93254 coa confirmed identity but ftir spectrum did not match approved reference standard
INC-2022-1257,Raw material Lactose Monohydrate from supplier BioRaw GmbH failed identity test on lot LOT-63796. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Document revision and re-issuance,Install automated alarm and alert system,High,raw material lactose monohydrate from supplier bioraw gmbh failed identity test on lot lot 63796 coa confirmed identity but ftir spectrum did not match approved reference standard
INC-2022-1258,Environmental monitoring trend shows increasing CFU counts in Room D104 over 8 days. Action limit breached during batch C9360B manufacturing period.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,Medium,environmental monitoring trend shows increasing cfu counts in room d104 over 8 days action limit breached during batch c9360b manufacturing period
INC-2022-1259,Raw data for batch A8077B testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Operator retraining,Add in-process checks at critical steps,Medium,raw data for batch a8077b testing deleted from system before secondary review completed data integrity breach identified during internal audit review
INC-2022-1260,Chromatography data system ChemStation incorrectly integrated peak area for batch B9508A samples. Manual reintegration required for all affected samples.,Software / System Failure,System configuration correction,Deploy continuous training programme,High,chromatography data system chemstation incorrectly integrated peak area for batch b9508a samples manual reintegration required for all affected samples
INC-2022-1261,Gowning procedure not followed correctly by operator OP-7119 entering Grade A filling zone during batch C9154A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Process parameter adjustment,Revise SOP with enhanced controls,High,gowning procedure not followed correctly by operator op 7119 entering grade a filling zone during batch c9154a filling operation non compliance confirmed by cctv review
INC-2022-1262,Double dispensing of Povidone occurred for batch C2431B. Operator OP-6951 did not check previous dispensing record. Total weight 21.7% above specification.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Low,double dispensing of povidone occurred for batch c2431b operator op 6951 did not check previous dispensing record total weight 21 7 above specification
INC-2022-1263,Granule moisture content for batch A7499B measured at 1.5% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,Medium,granule moisture content for batch a7499b measured at 1 5 exceeding validated limit additional drying required before compression could proceed
INC-2022-1264,Fill volume for batch D5091A vials measured outside specification. 34 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,fill volume for batch d5091a vials measured outside specification 34 vials showed fill volume below lower specification limit on filling line
INC-2022-1265,Particle size distribution of Povidone lot LOT-12888 outside specification. D90 measured at 406.0 µm against NMT limit.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Low,particle size distribution of povidone lot lot 12888 outside specification d90 measured at 406 0 m against nmt limit
INC-2022-1266,Change control CC-4671 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,change control cc 4671 closed without completing all required verification actions validation report not attached before closure non compliance found at audit
INC-2022-1267,Incorrect cleaning agent applied to equipment FP-340 following batch E6658A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,High,incorrect cleaning agent applied to equipment fp 340 following batch e6658a processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2022-1268,Relative humidity in manufacturing suite Suite C rose to 75.0% exceeding limit for 5.7 hours during batch D7316B processing.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,Medium,relative humidity in manufacturing suite suite c rose to 75 0 exceeding limit for 5 7 hours during batch d7316b processing
INC-2022-1269,Audit trail in QMS software ChemStation failed to record change made to batch A3817A record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,High,audit trail in qms software chemstation failed to record change made to batch a3817a record 21 cfr part 11 compliance gap identified during internal audit
INC-2022-1270,Double dispensing of HPMC occurred for batch C3011C. Operator OP-6642 did not check previous dispensing record. Total weight 15.5% above specification.,Human Error,Operator retraining,Enhance supplier qualification process,Medium,double dispensing of hpmc occurred for batch c3011c operator op 6642 did not check previous dispensing record total weight 15 5 above specification
INC-2022-1271,Ambient temperature in dispensary Room B202 rose to 35.8 degrees C for 3.7 hours. Temperature-sensitive raw materials dispensed for batch C8451A during exceedance.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium,ambient temperatureerature in dispensary room b202 rose to 35 8 degrees c for 3 7 hours temperatureerature sensitive raw materials dispensed for batch c8451a during exceedance
INC-2022-1272,Heavy metals test for Lactose Monohydrate lot LOT-71377 from ExciPure Corp failed specification. 2.91 ppm detected against permitted limit.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,High,heavy metals test for lactose monohydrate lot lot 71377 from excipure corp failed specification 2 91 ppm detected against permitted limit
INC-2022-1273,Visual inspection of batch B8470B identified 12 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Medium,visual inspection of batch b8470b identified 12 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2022-1274,Two raw material lots LOT-54608 and LOT-97184 mixed in dispensary during weighing for batch D1917B. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,two raw material lots lot 54608 and lot 97184 mixed in dispensary during weighing for batch d1917b mix up detected by second operator during verification check
INC-2022-1275,Granule moisture content for batch E9466B measured at 5.8% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium,granule moisture content for batch e9466b measured at 5 8 exceeding validated limit additional drying required before compression could proceed
INC-2022-1276,New employee OP-8842 in QC Laboratory department performed batch record review without completing qualification assessment for SOP SOP-071. Onboarding training gap identified.,Training Gap,Operator retraining,Revise SOP with enhanced controls,High,new employee op 8842 in qc laboratory department performed batch record review without completing qualification assessment for standard operating procedure standard operating procedure 071 onboarding training gap identified
INC-2022-1277,Calibration certificate for AC-427 expired 38 days before use during batch D1945B manufacture. Expired status not identified before equipment use.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,calibration certificate for ac 427 expired 38 days before use during batch d1945b manufacture expired status not identified before equipment use
INC-2022-1278,Tablet disintegration for batch C7456B exceeded 21.3 minutes at 30 minute timepoint. Specification limit is NMT 7 minutes.,Process Deviation,Operator retraining,Implement environmental monitoring trend analysis,Medium,tablet disintegration for batch c7456b exceeded 21 3 minutes at 30 minute timepoint specification limit is nmt 7 minutes
INC-2022-1279,Bioburden of 10 CFU per 100mL detected in WFI water used for batch A5206A. Alert limit is 2 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium,bioburden of 10 cfu per 100ml detected in wfi water used for batch a5206a alert limit is 2 cfu per 100ml batch quarantined
INC-2022-1280,Two raw material lots LOT-68391 and LOT-33050 mixed in dispensary during weighing for batch E7090C. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Low,two raw material lots lot 68391 and lot 33050 mixed in dispensary during weighing for batch e7090c mix up detected by second operator during verification check
INC-2022-1281,Heavy metals test for Lactose Monohydrate lot LOT-93756 from ExciPure Corp failed specification. 6.25 ppm detected against permitted limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Deploy continuous training programme,Low,heavy metals test for lactose monohydrate lot lot 93756 from excipure corp failed specification 6 25 ppm detected against permitted limit
INC-2022-1282,Operator OP-2265 initiated compression of batch B2935A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Low,operator op 2265 initiated compression of batch b2935a without completing blend uniformity check procedural step bypassed without authorisation
INC-2022-1283,Audit trail in QMS software ChemStation failed to record change made to batch B6192C record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Product recall and destruction,Add in-process checks at critical steps,Medium,audit trail in qms software chemstation failed to record change made to batch b6192c record 21 cfr part 11 compliance gap identified during internal audit
INC-2022-1284,Operator OP-3085 used previous batch record template for batch E3999B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low,operator op 3085 used previous batch record temperaturelate for batch e3999b documentation version mismatch identified during qa batch record review before release
INC-2022-1285,Print quality failure on label batch LOT-87389 from BioRaw GmbH. Barcode not readable by automated scanner. 22.3% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Enhance supplier qualification process,High,print quality failure on label batch lot 87389 from bioraw gmbh barcode not readable by automated scanner 22 3 of labels failed reading test
INC-2022-1286,Two raw material lots LOT-90277 and LOT-78976 mixed in dispensary during weighing for batch B4859B. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium,two raw material lots lot 90277 and lot 78976 mixed in dispensary during weighing for batch b4859b mix up detected by second operator during verification check
INC-2022-1287,Mixing time for batch A1160A reduced to 37.7 minutes due to equipment issue. Validated minimum mixing time is 42 minutes. Blend uniformity testing initiated.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,mixing time for batch a1160a reduced to 37 7 minutes due to equipment issue validated minimum mixing time is 42 minutes blend uniformity testing initiated
INC-2022-1288,Viable particle count in Grade B area exceeded action limit. 23 CFU per m3 detected at sample point during batch D6414A manufacture.,Environmental Control Failure,Batch quarantine and investigation,Implement preventive maintenance schedule,High,viable particle count in grade b area exceeded action limit 23 cfu per m3 detected at sample point during batch d6414a manufacture
INC-2022-1289,Two raw material lots LOT-88010 and LOT-51560 mixed in dispensary during weighing for batch B7827A. Mix-up detected by second operator during verification check.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium,two raw material lots lot 88010 and lot 51560 mixed in dispensary during weighing for batch b7827a mix up detected by second operator during verification check
INC-2022-1290,Dissolution profile for batch E9636B failed at 45 minute timepoint. 29.0% dissolved against specification of NLT 74.0%.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,High,dissolution profile for batch e9636b failed at 45 minute timepoint 29 0 dissolved against specification of nlt 74 0
INC-2022-1291,Training record for operator OP-7116 does not include current version of SOP SOP-064. Operator performed HPLC analysis without current documented qualification.,Documentation Error,Document revision and re-issuance,Implement environmental monitoring trend analysis,Medium,training record for operator op 7116 does not include current version of standard operating procedure standard operating procedure 064 operator performed hplc analysis without current documented qualification
INC-2022-1292,Centrifuge AC-397 imbalance alarm triggered during processing of batch B5542B. Processing halted at 75% completion. Product integrity requires assessment.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium,centrifuge ac 397 imbalance alarm triggered during processing of batch b5542b processing halted at 75 completion product integrity requires assessment
INC-2022-1293,Operator OP-9008 used previous batch record template for batch A7608A documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,operator op 9008 used previous batch record temperaturelate for batch a7608a documentation version mismatch identified during qa batch record review before release
INC-2022-1294,Compressed air moisture content on filling line 6 exceeded 2.9 ppm limit. Batch D9245B potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Introduce dual-person verification,High,compressed air moisture content on filling line 6 exceeded 2 9 ppm limit batch d9245b potentially affected
INC-2022-1295,In-process assay for batch A2108B at coating step measured 107.2% against specification of 91.7% to 108.1%.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,High,in process assay for batch a2108b at coating step measured 107 2 against specification of 91 7 to 108 1
INC-2022-1296,Operator OP-7806 followed previous gowning procedure for Grade A entry. Updated SOP SOP-058 training not completed prior to cleanroom entry.,Training Gap,Operator retraining,Introduce dual-person verification,Low,operator op 7806 followed previous gowning procedure for grade a entry updated standard operating procedure standard operating procedure 058 training not completed prior to cleanroom entry
INC-2022-1297,Electronic signature system Veeva Vault allowed batch B8369C record approval without required second authorised signatory. Workflow configuration error identified.,Software / System Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,electronic signature system veeva vault allowed batch b8369c record approval without required second authorised signatory workflow configuration error identified
INC-2022-1298,Operator OP-8258 added 19.1% excess of Colloidal Silicon Dioxide to batch E4345B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,operator op 8258 added 19 1 excess of colloidal silicon dioxide to batch e4345b during dispensing error not detected until in process check batch placed on hold for investigation
INC-2022-1299,Maintenance technician OP-9735 performed preventive maintenance on TBL-804 using outdated procedure. Current revision not communicated after SOP update.,Training Gap,System configuration correction,Introduce dual-person verification,Low,maintenance technician op 9735 performed preventive maintenance on tbl 804 using outdated procedure current revision not communicated after standard operating procedure update
INC-2022-1300,Print quality failure on label batch LOT-12151 from BioRaw GmbH. Barcode not readable by automated scanner. 18.1% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,High,print quality failure on label batch lot 12151 from bioraw gmbh barcode not readable by automated scanner 18 1 of labels failed reading test
INC-2022-1301,Differential pressure between Grade B and Grade C dropped below minimum specification in Room B202 during batch A1689A processing. Pressure alarm triggered.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High,differential pressure between grade b and grade c dropped below minimum specification in room b202 during batch a1689a processing pressure alarm triggered
INC-2022-1302,Blend uniformity failure detected for batch B5987B. RSD of 3.4% exceeds limit of 3.5%. Blending time was 31.7 minutes against validated 38 minutes.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,blend uniformity failure detected for batch b5987b rsd of 3 4 exceeds limit of 3 5 blending time was 31 7 minutes against validated 38 minutes
INC-2022-1303,Coating pan CEN-152 experienced a mechanical failure during batch A7168A coating process. Spray nozzle blocked causing uneven film coating. 17.5% of tablets outside uniformity specification.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,High,coating pan cen 152 experienced a mechanical failure during batch a7168a coating process spray nozzle blocked causing uneven film coating 17 5 of tablets outside uniformity specification
INC-2022-1304,Analyst OP-6720 used incorrect parameters during analysis of batch C8195A. Root cause identified as insufficient training on current software version.,Training Gap,System configuration correction,Deploy continuous training programme,Low,analyst op 6720 used incorrect parameters during analysis of batch c8195a root cause identified as insufficient training on current software version
INC-2022-1305,Compressed air moisture content on filling line 4 exceeded 2.9 ppm limit. Batch C9000B potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High,compressed air moisture content on filling line 4 exceeded 2 9 ppm limit batch c9000b potentially affected
INC-2022-1306,Tablet weight variation for batch C6652C failed at 25% compression stage. RSD of 2.5% exceeds permitted limit of 7.7%.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium,tablet weight variation for batch c6652c failed at 25 compression stage rsd of 2 5 exceeds permitted limit of 7 7
INC-2022-1307,Blend uniformity failure detected for batch C1055A. RSD of 4.1% exceeds limit of 5.7%. Blending time was 24.5 minutes against validated 29 minutes.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Medium,blend uniformity failure detected for batch c1055a rsd of 4 1 exceeds limit of 5 7 blending time was 24 5 minutes against validated 29 minutes
INC-2022-1308,Incorrect expiry date printed on labels for batch A8186A. 3454 units incorrectly labelled before detection by QA inspection.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,incorrect expiry date printed on labels for batch a8186a 3454 units incorrectly labelled before detection by qa inspection
INC-2022-1309,Operator OP-7304 initiated compression of batch E9334A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,operator op 7304 initiated compression of batch e9334a without completing blend uniformity check procedural step bypassed without authorisation
INC-2022-1310,Viable particle count in Grade B area exceeded action limit. 20 CFU per m3 detected at sample point during batch A6412A manufacture.,Environmental Control Failure,System configuration correction,Implement environmental monitoring trend analysis,Medium,viable particle count in grade b area exceeded action limit 20 cfu per m3 detected at sample point during batch a6412a manufacture
INC-2022-1311,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 5 CFU. Action limit is 2 CFU.,Environmental Control Failure,System configuration correction,Install automated alarm and alert system,High,microbial contamination detected in grade a filling area environmental monitoring sample returned 5 cfu action limit is 2 cfu
INC-2022-1312,Wrong batch number B6519A entered into batch record for batch D6787A. Documentation error discovered during QA review prior to batch release.,Human Error,System configuration correction,Introduce dual-person verification,Low,wrong batch number b6519a entered into batch record for batch d6787a documentation error discovered during qa review prior to batch release
INC-2022-1313,pH meter TBL-987 gave inconsistent readings during in-process checks on batch C1543A. Calibration check failed with 0.28 pH unit drift from standard.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High,ph meter tbl 987 gave inconsistent readings during in process checks on batch c1543a calibration check failed with 0 28 ph unit drift from standard
INC-2022-1314,Granule moisture content for batch B1883C measured at 5.9% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High,granule moisture content for batch b1883c measured at 5 9 exceeding validated limit additional drying required before compression could proceed
INC-2022-1315,pH meter CEN-786 gave inconsistent readings during in-process checks on batch B3833A. Calibration check failed with 0.18 pH unit drift from standard.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High,ph meter cen 786 gave inconsistent readings during in process checks on batch b3833a calibration check failed with 0 18 ph unit drift from standard
INC-2022-1316,Granule moisture content for batch D7735C measured at 3.9% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Process parameter adjustment,Upgrade software with validation,High,granule moisture content for batch d7735c measured at 3 9 exceeding validated limit additional drying required before compression could proceed
INC-2022-1317,Operator OP-1507 skipped in-process weight check at 75% completion during tablet compression of batch A1798A. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Low,operator op 1507 skipped in process weight check at 75 completion during tablet compression of batch a1798a step omitted from batch record
INC-2022-1318,Wrong batch number C1756B entered into batch record for batch E3558A. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium,wrong batch number c1756b entered into batch record for batch e3558a documentation error discovered during qa review prior to batch release
INC-2022-1319,Gowning procedure not followed correctly by operator OP-7835 entering Grade A filling zone during batch D4813C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium,gowning procedure not followed correctly by operator op 7835 entering grade a filling zone during batch d4813c filling operation non compliance confirmed by cctv review
INC-2022-1320,Mixing time for batch B5830C reduced to 8.0 minutes due to equipment issue. Validated minimum mixing time is 41 minutes. Blend uniformity testing initiated.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Low,mixing time for batch b5830c reduced to 8 0 minutes due to equipment issue validated minimum mixing time is 41 minutes blend uniformity testing initiated
INC-2022-1321,Operator OP-2092 initiated compression of batch D2734B without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium,operator op 2092 initiated compression of batch d2734b without completing blend uniformity check procedural step bypassed without authorisation
INC-2022-1322,pH of Povidone lot LOT-56122 from API Solutions measured 4.2 outside specification of 4.9 to 6.2. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,High,ph of povidone lot lot 56122 from api solutions measured 4 2 outside specification of 4 9 to 6 2 material quarantined
INC-2022-1323,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 3.5 hours during batch D3659A manufacture.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,High,hvac system failure in cleanroom room c303 resulted in differential pressure drop below specification grade integrity compromised for 3 5 hours during batch d3659a manufacture
INC-2022-1324,Environmental monitoring log for cleanroom Room E205 not completed for 14 days. Missing entries overlap with batch A5152B manufacture period.,Documentation Error,System configuration correction,Deploy continuous training programme,Medium,environmental monitoring log for cleanroom room e205 not completed for 14 days missing entries overlap with batch a5152b manufacture period
INC-2022-1325,Out-of-specification result for batch A6536C not reported within required timeframe. Reporting delay of 9.3 hours above the required notification limit.,Documentation Error,Supplier qualification review,Introduce dual-person verification,Low,out of specification result for batch a6536c not reported within required timeframe reporting delay of 9 3 hours above the required notification limit
INC-2022-1326,Operator OP-5761 used previous batch record template for batch A4492B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low,operator op 5761 used previous batch record temperaturelate for batch a4492b documentation version mismatch identified during qa batch record review before release
INC-2022-1327,Wrong batch number D1564A entered into batch record for batch C5644B. Documentation error discovered during QA review prior to batch release.,Human Error,Equipment repair and recalibration,Introduce dual-person verification,Medium,wrong batch number d1564a entered into batch record for batch c5644b documentation error discovered during qa review prior to batch release
INC-2022-1328,Incorrect expiry date printed on labels for batch A2353C. 366 units incorrectly labelled before detection by QA inspection.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low,incorrect expiry date printed on labels for batch a2353c 366 units incorrectly labelled before detection by qa inspection
INC-2022-1329,Dissolution apparatus BLD-310 paddle speed not verified prior to testing batch D9279A. Speed found at 54 rpm instead of specified 97 rpm.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium,dissolution apparatus bld 310 paddle speed not verified prior to testing batch d9279a speed found at 54 rpm instead of specified 97 rpm
INC-2022-1330,Laboratory analyst OP-3286 performed testing using method SOP SOP-071 without completing analytical method training qualification record.,Training Gap,Operator retraining,Introduce dual-person verification,Medium,laboratory analyst op 3286 performed testing using method standard operating procedure standard operating procedure 071 without completing analytical method training qualification record
INC-2022-1331,Heavy metals test for Microcrystalline Cellulose lot LOT-25221 from BioRaw GmbH failed specification. 3.79 ppm detected against permitted limit.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,High,heavy metals test for microcrystalline cellulose lot lot 25221 from bioraw gmbh failed specification 3 79 ppm detected against permitted limit
INC-2022-1332,Double dispensing of HPMC occurred for batch C9326B. Operator OP-5710 did not check previous dispensing record. Total weight 17.3% above specification.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Low,double dispensing of hpmc occurred for batch c9326b operator op 5710 did not check previous dispensing record total weight 17 3 above specification
INC-2022-1333,Fill volume for batch D6705B vials measured outside specification. 46 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low,fill volume for batch d6705b vials measured outside specification 46 vials showed fill volume below lower specification limit on filling line
INC-2022-1334,Incorrect cleaning agent applied to equipment CEN-904 following batch B1546C processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium,incorrect cleaning agent applied to equipment cen 904 following batch b1546c processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2022-1335,Yield for batch E4044A was 86.8% against expected yield of 97.9%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium,yield for batch e4044a was 86 8 against expected yield of 97 9 unaccounted material loss triggers investigation
INC-2022-1336,Operator OP-4811 set drying temperature to 77.9 degrees C instead of specified 31.0 degrees C for batch D8999A. Deviation noted after 7.2 hours of processing.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,High,operator op 4811 set drying temperatureerature to 77 9 degrees c instead of specified 31 0 degrees c for batch d8999a deviation noted after 7 2 hours of processing
INC-2022-1337,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 14 CFU. Action limit is 1 CFU.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Medium,microbial contamination detected in grade a filling area environmental monitoring sample returned 14 cfu action limit is 1 cfu
INC-2022-1338,Tablet press HP-126 produced tablets with hardness below specification during compression of batch E6445B. Average hardness 5.3 kP against minimum of 6.6 kP.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low,tablet press hp 126 produced tablets with hardness below specification during compression of batch e6445b average hardness 5 3 kp against minimum of 6 6 kp
INC-2022-1339,In-process assay for batch C8352C at coating step measured 112.2% against specification of 93.7% to 105.2%.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Low,in process assay for batch c8352c at coating step measured 112 2 against specification of 93 7 to 105 2
INC-2022-1340,Operator OP-5309 set drying temperature to 75.6 degrees C instead of specified 28.9 degrees C for batch E2617C. Deviation noted after 11.2 hours of processing.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low,operator op 5309 set drying temperatureerature to 75 6 degrees c instead of specified 28 9 degrees c for batch e2617c deviation noted after 11 2 hours of processing
INC-2022-1341,Tablet press BLD-761 produced tablets with hardness below specification during compression of batch B1794A. Average hardness 3.2 kP against minimum of 8.6 kP.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Low,tablet press bld 761 produced tablets with hardness below specification during compression of batch b1794a average hardness 3 2 kp against minimum of 8 6 kp
INC-2022-1342,Autoclave FP-830 failed to reach sterilisation temperature of 121 degrees C during cycle for batch C1612A. Maximum recorded temperature was 10.0 degrees C. Load quarantined pending investigation.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Low,autoclave fp 830 failed to reach sterilisation temperatureerature of 121 degrees c during cycle for batch c1612a maximum recorded temperatureerature was 10 0 degrees c load quarantined pending investigation
INC-2022-1343,Balance CP-911 failed calibration check before dispensing operations for batch E2836A. Drift of 0.24 g recorded against tolerance of 0.01 g.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Low,balance cp 911 failed calibration check before dispensing operations for batch e2836a drift of 0 24 g recorded against tolerance of 0 01 g
INC-2022-1344,pH meter HP-224 gave inconsistent readings during in-process checks on batch A4747A. Calibration check failed with 0.24 pH unit drift from standard.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,High,ph meter hp 224 gave inconsistent readings during in process checks on batch a4747a calibration check failed with 0 24 ph unit drift from standard
INC-2022-1345,Equipment logbook for FP-885 shows no record of cleaning prior to batch B5454C. Previous product residue risk not assessed before manufacture commenced.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Low,equipment logbook for fp 885 shows no record of cleaning prior to batch b5454c previous product residue risk not assessed before manufacture commenced
INC-2022-1346,Ambient temperature in dispensary Room D104 rose to 22.4 degrees C for 1.4 hours. Temperature-sensitive raw materials dispensed for batch C9243B during exceedance.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High,ambient temperatureerature in dispensary room d104 rose to 22 4 degrees c for 1 4 hours temperatureerature sensitive raw materials dispensed for batch c9243b during exceedance
INC-2022-1347,Tablet weight variation for batch A2337C failed at 75% compression stage. RSD of 4.1% exceeds permitted limit of 7.6%.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Medium,tablet weight variation for batch a2337c failed at 75 compression stage rsd of 4 1 exceeds permitted limit of 7 6
