incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2021-0948,Wrong batch number A4022B entered into batch record for batch D1912A. Documentation error discovered during QA review prior to batch release.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low
INC-2021-0949,Fill volume for batch E2880A vials measured outside specification. 13 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2021-0950,Centrifuge EQ-812 imbalance alarm triggered during processing of batch A2800C. Processing halted at 75% completion. Product integrity requires assessment.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,High
INC-2021-0951,Freeze dryer HP-396 experienced shelf temperature excursion during primary drying of batch C8965B. Shelf temperature rose 26.2 degrees C above the validated specification limit.,Equipment Failure,Supplier qualification review,Add in-process checks at critical steps,High
INC-2021-0952,HVAC system failure in cleanroom Room A101 resulted in differential pressure drop below specification. Grade integrity compromised for 7.6 hours during batch C1782B manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High
INC-2021-0953,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 1.8 hours during batch E8369A manufacture.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2021-0954,Compressed air moisture content on filling line 5 exceeded 1.9 ppm limit. Batch C7668A potentially affected.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2021-0955,Visual inspection of batch A8282B identified 6 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2021-0956,Heavy metals test for Sodium Starch Glycolate lot LOT-99090 from PharmChem Ltd failed specification. 7.46 ppm detected against permitted limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2021-0957,Operator OP-9299 in Warehouse not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,System configuration correction,Introduce dual-person verification,Low
INC-2021-0958,Yield for batch D2515B was 91.5% against expected yield of 97.2%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2021-0959,Compressed air moisture content on filling line 3 exceeded 1.7 ppm limit. Batch A2665B potentially affected.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2021-0960,Retention sample for batch A1907A not taken per SOP SOP-054 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,System configuration correction,Deploy continuous training programme,Medium
INC-2021-0961,Fill volume for batch E1839C vials measured outside specification. 34 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Batch quarantine and investigation,Install automated alarm and alert system,Low
INC-2021-0962,Stability protocol for batch B4106B not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,Operator retraining,Deploy continuous training programme,Low
INC-2021-0963,Two raw material lots LOT-23329 and LOT-34249 mixed in dispensary during weighing for batch C3292C. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2021-0964,Mixing time for batch E8127C reduced to 23.2 minutes due to equipment issue. Validated minimum mixing time is 40 minutes. Blend uniformity testing initiated.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2021-0965,Mixing time for batch B8667A reduced to 15.4 minutes due to equipment issue. Validated minimum mixing time is 54 minutes. Blend uniformity testing initiated.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Low
INC-2021-0966,Dissolution apparatus HP-500 paddle speed not verified prior to testing batch A8855C. Speed found at 35 rpm instead of specified 52 rpm.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Low
INC-2021-0967,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch E8640A. 2 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium
INC-2021-0968,Compressed air moisture content on filling line 6 exceeded 1.7 ppm limit. Batch D4429C potentially affected.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High
INC-2021-0969,Granulator HP-785 impeller speed dropped from target 273 rpm to 126 rpm during wet granulation of batch E4783A. Granule properties affected.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Low
INC-2021-0970,Gowning procedure not followed correctly by operator OP-2631 entering Grade A filling zone during batch C5140A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low
INC-2021-0971,Coating pan BLD-730 experienced a mechanical failure during batch A6207A coating process. Spray nozzle blocked causing uneven film coating. 14.3% of tablets outside uniformity specification.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Low
INC-2021-0972,Operator OP-2897 added 15.0% excess of HPMC to batch B6965A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Introduce dual-person verification,Low
INC-2021-0973,Stability management software ChemStation failed to generate scheduled pull notification for batch E1114C samples. Stability timepoint missed by 42 days.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-0974,Ambient temperature in dispensary Room E205 rose to 16.8 degrees C for 4.6 hours. Temperature-sensitive raw materials dispensed for batch D6262B during exceedance.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2021-0975,Analyst OP-9547 used incorrect parameters during analysis of batch B2905A. Root cause identified as insufficient training on current software version.,Training Gap,System configuration correction,Revise SOP with enhanced controls,Low
INC-2021-0976,Operator OP-8850 skipped in-process weight check at 75% completion during tablet compression of batch A2914C. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2021-0977,Raw material Lactose Monohydrate from supplier API Solutions failed identity test on lot LOT-10533. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2021-0978,Print quality failure on label batch LOT-84454 from PharmChem Ltd. Barcode not readable by automated scanner. 28.9% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium
INC-2021-0979,Raw material Magnesium Stearate from supplier ChemSource Inc failed identity test on lot LOT-50557. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2021-0980,Microbial contamination detected in Grade C filling area. Environmental monitoring sample returned 50 CFU. Action limit is 1 CFU.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High
INC-2021-0981,Wrong batch number C8397A entered into batch record for batch B5025B. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Introduce dual-person verification,High
INC-2021-0982,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch D7416A. 25 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium
INC-2021-0983,Double dispensing of Colloidal Silicon Dioxide occurred for batch C6455A. Operator OP-4477 did not check previous dispensing record. Total weight 19.4% above specification.,Human Error,Process parameter adjustment,Revise SOP with enhanced controls,High
INC-2021-0984,Batch record for batch D7177C missing authorised signature at step 11 covering coating. Deviation raised during QA batch record review.,Documentation Error,Operator retraining,Introduce dual-person verification,Low
INC-2021-0985,Autoclave FP-726 failed to reach sterilisation temperature of 121 degrees C during cycle for batch E4420B. Maximum recorded temperature was 29.7 degrees C. Load quarantined pending investigation.,Equipment Failure,Operator retraining,Increase monitoring frequency,High
INC-2021-0986,Environmental monitoring software LIMS Nexus failed to flag exceedance of action limit in room Room C303 during batch A1911C processing period.,Software / System Failure,Product recall and destruction,Deploy continuous training programme,Medium
INC-2021-0987,Water purification system EQ-181 conductivity exceeded 2.8 uS/cm limit. Batch B3469A manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2021-0988,Operator OP-8233 skipped in-process weight check at 75% completion during tablet compression of batch D9969C. Step omitted from batch record.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2021-0989,Environmental monitoring software ChemStation failed to flag exceedance of action limit in room Room A101 during batch A7187B processing period.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-0990,Blend uniformity failure detected for batch C8732C. RSD of 7.3% exceeds limit of 8.3%. Blending time was 39.9 minutes against validated 28 minutes.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2021-0991,Wrong batch number D7214B entered into batch record for batch D8656C. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Revise SOP with enhanced controls,High
INC-2021-0992,Granule moisture content for batch C1460C measured at 5.4% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2021-0993,Bioburden of 16 CFU per 100mL detected in WFI water used for batch C5168A. Alert limit is 8 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2021-0994,Electronic batch record system ChemStation lost data entry for batch A9686B step 10 due to server timeout. Manual data recovery required.,Software / System Failure,Supplier qualification review,Add in-process checks at critical steps,High
INC-2021-0995,Operator OP-6418 added 29.4% excess of HPMC to batch A6824B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2021-0996,Print quality failure on label batch LOT-41819 from BioRaw GmbH. Barcode not readable by automated scanner. 11.9% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,High
INC-2021-0997,Electronic signature system ChemStation allowed batch A6487B record approval without required second authorised signatory. Workflow configuration error identified.,Software / System Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2021-0998,Ambient temperature in dispensary Room D104 rose to 21.7 degrees C for 5.1 hours. Temperature-sensitive raw materials dispensed for batch D2698B during exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Low
INC-2021-0999,Label printing software Veeva Vault generated incorrect format on labels for batch C2134A. Printed labels did not meet approved artwork specification.,Software / System Failure,System configuration correction,Add in-process checks at critical steps,Medium
INC-2021-1000,Environmental monitoring software Veeva Vault failed to flag exceedance of action limit in room Room B202 during batch E1445A processing period.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2021-1001,Calibration certificate for BLD-443 expired 27 days before use during batch A8624A manufacture. Expired status not identified before equipment use.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2021-1002,Two raw material lots LOT-27047 and LOT-61785 mixed in dispensary during weighing for batch C8480B. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-1003,Operator OP-9556 used previous batch record template for batch C2309C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2021-1004,Balance AC-934 failed calibration check before dispensing operations for batch A4608C. Drift of 0.19 g recorded against tolerance of 0.01 g.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2021-1005,Balance HP-951 failed calibration check before dispensing operations for batch E8915B. Drift of 0.17 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Medium
INC-2021-1006,Yield for batch E8697A was 93.2% against expected yield of 97.6%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2021-1007,Supervisor OP-8540 in Sterile Fill unfamiliar with deviation reporting timelines. Deviation for batch C7903C reported 40 days after required deadline.,Training Gap,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2021-1008,Gowning procedure not followed correctly by operator OP-9918 entering Grade A filling zone during batch B2155C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2021-1009,Operator OP-5013 used previous batch record template for batch A3109C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Operator retraining,Revise SOP with enhanced controls,Low
INC-2021-1010,Granule moisture content for batch B4386B measured at 5.5% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2021-1011,Tablet disintegration for batch C9420B exceeded 17.8 minutes at 45 minute timepoint. Specification limit is NMT 19 minutes.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2021-1012,Fill volume for batch D5293B vials measured outside specification. 12 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Process parameter adjustment,Upgrade software with validation,High
INC-2021-1013,Two raw material lots LOT-72711 and LOT-21398 mixed in dispensary during weighing for batch E6193C. Mix-up detected by second operator during verification check.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,Low
INC-2021-1014,In-process assay for batch B4511C at coating step measured 103.5% against specification of 94.8% to 105.3%.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2021-1015,Wrong batch number B8062C entered into batch record for batch E2764C. Documentation error discovered during QA review prior to batch release.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2021-1016,Change control CC-5079 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2021-1017,Operator OP-7182 added 29.3% excess of Colloidal Silicon Dioxide to batch D3490A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,System configuration correction,Enhance supplier qualification process,Low
INC-2021-1018,Granulator BLD-506 impeller speed dropped from target 217 rpm to 32 rpm during wet granulation of batch C5602B. Granule properties affected.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2021-1019,Excipient Microcrystalline Cellulose lot LOT-88614 from PackRight Ltd contained visible foreign particulate. Failed visual inspection during incoming QC screening.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Low
INC-2021-1020,Dissolution profile for batch B4853B failed at 30 minute timepoint. 15.3% dissolved against specification of NLT 77.0%.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2021-1021,Autoclave FP-104 failed to reach sterilisation temperature of 121 degrees C during cycle for batch C6871C. Maximum recorded temperature was 16.1 degrees C. Load quarantined pending investigation.,Equipment Failure,Process parameter adjustment,Introduce dual-person verification,High
INC-2021-1022,Operator OP-7524 set drying temperature to 66.3 degrees C instead of specified 39.8 degrees C for batch C7210B. Deviation noted after 8.0 hours of processing.,Human Error,Document revision and re-issuance,Install automated alarm and alert system,Low
INC-2021-1023,Operator OP-3255 in Dispensary performed equipment BLD-758 cleaning without completing cleaning validation training qualification for this specific equipment type.,Training Gap,Operator retraining,Add in-process checks at critical steps,Medium
INC-2021-1024,Visual inspection of batch E4797C identified 34 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2021-1025,Operator OP-3969 added 22.5% excess of Colloidal Silicon Dioxide to batch E6494C during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Deploy continuous training programme,Low
INC-2021-1026,Operator OP-8552 in Sterile Fill not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,System configuration correction,Introduce dual-person verification,Low
INC-2021-1027,Fill volume for batch D2492C vials measured outside specification. 21 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2021-1028,Raw material Lactose Monohydrate from supplier PharmChem Ltd failed identity test on lot LOT-37278. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2021-1029,Tablet weight variation for batch E2979A failed at 50% compression stage. RSD of 7.8% exceeds permitted limit of 10.0%.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2021-1030,HVAC system failure in cleanroom Room E205 resulted in differential pressure drop below specification. Grade integrity compromised for 5.1 hours during batch A3408B manufacture.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,Medium
INC-2021-1031,Raw data for batch E3188A testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Root cause investigation and CAPA report,Implement preventive maintenance schedule,Low
INC-2021-1032,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 40 CFU. Action limit is 7 CFU.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium
INC-2021-1033,Operator OP-6035 set drying temperature to 64.9 degrees C instead of specified 39.8 degrees C for batch D6734A. Deviation noted after 8.3 hours of processing.,Human Error,Equipment repair and recalibration,Enhance supplier qualification process,Low
INC-2021-1034,Yield for batch C1642C was 92.2% against expected yield of 98.5%. Unaccounted material loss triggers investigation.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,High
INC-2021-1035,In-process assay for batch D3290A at coating step measured 88.7% against specification of 93.1% to 109.4%.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2021-1036,Environmental monitoring software QMS Pro v3.2 failed to flag exceedance of action limit in room Room C303 during batch A5413B processing period.,Software / System Failure,Product recall and destruction,Upgrade software with validation,High
INC-2021-1037,Two raw material lots LOT-70760 and LOT-66187 mixed in dispensary during weighing for batch B2570B. Mix-up detected by second operator during verification check.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,Low
INC-2021-1038,Gowning procedure not followed correctly by operator OP-4460 entering Grade A filling zone during batch D8679C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2021-1039,New operator OP-5879 in Packaging performed visual inspection of batch D7841B without completing required visual inspection qualification and certification programme.,Training Gap,Operator retraining,Introduce dual-person verification,Low
INC-2021-1040,Freeze dryer AC-205 experienced shelf temperature excursion during primary drying of batch D7244A. Shelf temperature rose 17.8 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium
INC-2021-1041,Operator OP-3399 used previous batch record template for batch A3451C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2021-1042,Calibration certificate for EQ-409 expired 30 days before use during batch E3029A manufacture. Expired status not identified before equipment use.,Documentation Error,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-1043,Balance EQ-713 failed calibration check before dispensing operations for batch D1954C. Drift of 0.11 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Medium
INC-2021-1044,Water purification system TBL-189 conductivity exceeded 1.6 uS/cm limit. Batch C7373B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2021-1045,Temperature excursion in cold storage Room D104 for 3.0 hours. Temperature reached 39.9 degrees C above upper limit. Batch D5594B products affected.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2021-1046,QA analyst OP-2328 released batch D3007C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,High
INC-2021-1047,Two raw material lots LOT-23161 and LOT-11515 mixed in dispensary during weighing for batch C3146C. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2021-1048,Mixing time for batch A7304C reduced to 6.3 minutes due to equipment issue. Validated minimum mixing time is 42 minutes. Blend uniformity testing initiated.,Process Deviation,Operator retraining,Upgrade software with validation,Low
INC-2021-1049,pH meter AC-176 gave inconsistent readings during in-process checks on batch E4604A. Calibration check failed with 0.18 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2021-1050,Calibration certificate for HP-160 expired 20 days before use during batch B1537C manufacture. Expired status not identified before equipment use.,Documentation Error,System configuration correction,Deploy continuous training programme,Low
INC-2021-1051,Double dispensing of Colloidal Silicon Dioxide occurred for batch A3983B. Operator OP-9322 did not check previous dispensing record. Total weight 26.1% above specification.,Human Error,Operator retraining,Enhance supplier qualification process,Low
INC-2021-1052,Incorrect expiry date printed on labels for batch C3675A. 717 units incorrectly labelled before detection by QA inspection.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2021-1053,Operator OP-6773 set drying temperature to 65.3 degrees C instead of specified 22.6 degrees C for batch D6335B. Deviation noted after 3.4 hours of processing.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2021-1054,Wrong batch number C8440B entered into batch record for batch C3344C. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-1055,Bioburden of 36 CFU per 100mL detected in WFI water used for batch D5808C. Alert limit is 10 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium
INC-2021-1056,Wrong batch number D1554A entered into batch record for batch B2030B. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Increase monitoring frequency,Medium
INC-2021-1057,Filling pump HP-885 showed variable fill volume on line 3. Fill weights ranged 486.6mg to 512.4mg against target for batch C4730B.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium
INC-2021-1058,Electronic batch record system ChemStation lost data entry for batch D9388A step 5 due to server timeout. Manual data recovery required.,Software / System Failure,Product recall and destruction,Add in-process checks at critical steps,Low
INC-2021-1059,Granule moisture content for batch E9471A measured at 3.3% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2021-1060,Two raw material lots LOT-99071 and LOT-79109 mixed in dispensary during weighing for batch C4319B. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2021-1061,Freeze dryer CEN-406 experienced shelf temperature excursion during primary drying of batch B9852C. Shelf temperature rose 17.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,High
INC-2021-1062,Operator OP-5688 set drying temperature to 63.8 degrees C instead of specified 29.2 degrees C for batch A1249B. Deviation noted after 2.1 hours of processing.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,High
INC-2021-1063,Incorrect expiry date printed on labels for batch D8657A. 4388 units incorrectly labelled before detection by QA inspection.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2021-1064,Dissolution apparatus CEN-547 paddle speed not verified prior to testing batch E5180A. Speed found at 39 rpm instead of specified 96 rpm.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Low
INC-2021-1065,Yield for batch D5191A was 90.2% against expected yield of 98.8%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Enhance supplier qualification process,Medium
INC-2021-1066,Bulk density of Active Pharmaceutical Ingredient lot LOT-62545 from PackRight Ltd outside specification. Compressibility index of 29.2% exceeds limit affecting downstream processing.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2021-1067,Operator OP-2447 used previous batch record template for batch A7370C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2021-1068,Visual inspection of batch B2710A identified 2 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Low
INC-2021-1069,Environmental monitoring log for cleanroom Room C303 not completed for 37 days. Missing entries overlap with batch A6952A manufacture period.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2021-1070,Filling pump EQ-419 showed variable fill volume on line 4. Fill weights ranged 484.6mg to 512.3mg against target for batch D5097B.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Medium
INC-2021-1071,Compressed air moisture content on filling line 6 exceeded 2.7 ppm limit. Batch B5373B potentially affected.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,Medium
INC-2021-1072,Compressed air moisture content on filling line 4 exceeded 1.6 ppm limit. Batch E7882A potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,Low
INC-2021-1073,Operator OP-5248 set drying temperature to 63.8 degrees C instead of specified 32.6 degrees C for batch C9490B. Deviation noted after 1.4 hours of processing.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High
INC-2021-1074,Print quality failure on label batch LOT-13537 from ChemSource Inc. Barcode not readable by automated scanner. 10.4% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Medium
INC-2021-1075,Operator OP-1907 used previous batch record template for batch A8777A documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2021-1076,Dissolution profile for batch C7996B failed at 45 minute timepoint. 19.9% dissolved against specification of NLT 82.0%.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2021-1077,Operator OP-5318 skipped in-process weight check at 50% completion during tablet compression of batch B4867A. Step omitted from batch record.,Human Error,Operator retraining,Deploy continuous training programme,Low
INC-2021-1078,Blend uniformity failure detected for batch D1990B. RSD of 7.3% exceeds limit of 5.8%. Blending time was 8.3 minutes against validated 33 minutes.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Medium
INC-2021-1079,Training record for operator OP-1668 does not include current version of SOP SOP-064. Operator performed HPLC analysis without current documented qualification.,Documentation Error,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2021-1080,Retention sample for batch C3118B not taken per SOP SOP-079 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2021-1081,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 5.4 hours during batch C4532A manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High
INC-2021-1082,HPLC instrument FP-924 produced erratic baseline during analysis of batch E2922B samples. Column pressure exceeded 282 bar. Results invalidated and reanalysis required.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low
INC-2021-1083,Moisture content of HPMC lot LOT-68757 from ChemSource Inc was 4.0% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2021-1084,Two raw material lots LOT-94740 and LOT-85390 mixed in dispensary during weighing for batch B6816A. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2021-1085,Water purification system FP-699 conductivity exceeded 2.8 uS/cm limit. Batch C9396C manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Medium
INC-2021-1086,API assay for lot LOT-75097 from API Solutions measured 88.5% against specification of 91.1% to 107.2%.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2021-1087,Operator OP-7985 added 27.5% excess of Colloidal Silicon Dioxide to batch D8566B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2021-1088,Tablet weight variation for batch D7509B failed at 25% compression stage. RSD of 3.7% exceeds permitted limit of 6.5%.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2021-1089,Out-of-specification result for batch C1127B not reported within required timeframe. Reporting delay of 8.9 hours above the required notification limit.,Documentation Error,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,Medium
